商家,区域,商圈,星级,服务,价格,销量
大皇宫泰式松骨SPA酒店,南岗区,和兴路沿线,5.0,泰式松骨单人体验1次,175,17539
重庆富侨足道保健,南岗区,国际会展中心,5.0,单人草本足浴1次,99,9239
重庆富侨浴馆,南岗区,哈尔滨西站,5.0,单人富侨经典足浴,119.9,7646
秀域科技美容（福顺店）,南岗区,凯德广场,4.4,单人夏日冰点净脱,88,7218
秀域科技美容（海富店）,南岗区,芦家街/宣化街,3.7,单人夏日冰点净脱,88,7218
康寿堂按摩会所,南岗区,秋林果戈里,4.8,按摩护理套餐2选1,39.8,6372
山水洗浴住宿按摩,南岗区,秋林果戈里,5.0,单人女士洗搓套票,18,4252
国珍中医盲人按摩（吉林街店）,南岗区,秋林果戈里,4.3,单人颈椎按摩套餐,55,3802
佐康专业祛痘（哈西万达店）,南岗区,哈尔滨西站,5.0,单人去黑头套餐（全国通用2次）,16.8,3571
香水足浴馆（南岗店）,南岗区,花园街,5.0,单人洗浴+90分钟专业按摩+足底+汗蒸+汤池,162,3405
小资浴馆,南岗区,花园街,4.6,单人洗浴门票+保健按摩套餐,35,3373
克丽缇娜（哈西万达店）,南岗区,哈尔滨西站,3.0,克丽缇娜水妍润泽单人焕美套餐,158,3032
克丽缇娜（保利梦娇店）,南岗区,凯德广场,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3032
新江南足道,南岗区,香坊万达广场,5.0,江南足浴套餐,117,2799
留指间养生会馆,南岗区,国际会展中心,5.0,单人养生套餐,149,2508
首选盲人按摩名店（淮河路店）,南岗区,国际会展中心,5.0,推拿正骨单人套餐,56.8,2502
娇莉芙（金源店）,南岗区,国际会展中心,4.1,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
娇莉芙（文昌店）,南岗区,文昌街,4.0,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
娇莉芙（凯德广场学府店）,南岗区,凯德广场,4.5,单人绿鱼子面部抗氧+全身通络护理套餐,208,2431
泰爱SPA（华鸿路店）,南岗区,国际会展中心,5.0,单人巴厘岛皇室全身spa/法国Laperfect面护2选1,168,537
泰爱SPA（哈西店）,南岗区,哈尔滨西站,5.0,单人巴厘岛皇室全身spa/法国Laperfect面护2选1,168,537
泰爱SPA（汉水路店）,南岗区,省政府/龙塔,4.7,单人巴厘岛皇室全身spa/法国Laperfect面护2选1,168,537
美录美容瘦身馆（总店）,南岗区,和兴路沿线,5.0,藏.罐减.肥体验套餐,28.8,505
刘刘盲人按摩（哈西店）,南岗区,哈尔滨西站,5.0,单人保健调理套餐1次,80,487
姿生花美容塑身养生会所（哈西万达店）,南岗区,哈尔滨西站,5.0,韩国宫廷面部拔筋单人套餐,28,484
靡颜艾灸经络养生,南岗区,秋林果戈里,4.6,单人艾灸经络养生套餐,28,483
康鑫按摩,南岗区,芦家街/宣化街,5.0,单人全身保健按摩,49.9,482
墨染天下刺青,南岗区,花园街,5.0,单人超值储值卡,29.8,469
蕾特恩专业祛痘（国际）连锁（果戈里大街店）,南岗区,花园街,4.6,单人蕾特恩DNA靶向黑头导出套餐,19.8,408
徐一刀修脚馆,南岗区,果戈里/革新街,4.8,足部护理套餐,22.8,392
苗家养妍专业祛痘,南岗区,凯德广场,5.0,【基础护肤】补水套餐,28.8,391
思妍丽（新世界店）,南岗区,博物馆,4.0,原花香水润升级DR Bio多肽护理,288,389
天姿女海浪养生堂,南岗区,国际会展中心,4.5,单人药足高桶体验,1,338
日月星盲人中医按摩院,南岗区,省政府/龙塔,4.8,足疗套系,43,329
臧氏推拿按摩,南岗区,果戈里/革新街,5.0,单人局部按摩,19.9,290
小月化妆工作室,南岗区,果戈里/革新街,5.0,生活妆,26.8,284
雯莉形象设计（哈西万达店）,南岗区,哈尔滨西站,5.0,单人形象设计/面试妆/生活妆3选1,69,282
晓巷养生会馆,南岗区,哈尔滨西站,5.0,单人现代养生套餐,139,273
刘刘盲人按摩（红旗大街店）,南岗区,国际会展中心,5.0,单人保健调理1次,70,246
S妆园美容SPA会所,南岗区,哈尔滨西站,5.0,肩颈调理/面部基础补水护理2选1,38,242
简时美容院,南岗区,国际会展中心,5.0,全身疏通油压/SPA,58,232
华丽·志瘦身养生美业连锁,南岗区,服装城/学府路,4.0,面部补水SPA清洁套餐,39.8,227
华丽·志瘦身美业连锁（学府凯德店）,南岗区,凯德广场,4.9,面部补水SPA清洁套餐,39.8,227
佛罗拉美容中心,南岗区,芦家街/宣化街,5.0,背部经络疏通护理1次,1,222
MG Spa女子会馆（汉水路店）,南岗区,省政府/龙塔,5.0,MG单人身体护理,98,214
MG Spa女子会馆（玉山路店）,南岗区,国际会展中心,5.0,MG单人身体护理,98,214
冠盈养生堂,南岗区,芦家街/宣化街,5.0,单人背部刮痧走罐套餐,25.9,210
素美韩式半永久,南岗区,国际会展中心,4.9,单人韩式美妆眉,380,207
馨雨美容减肥塑型会馆（哈西悦城店）,南岗区,哈尔滨西站,5.0,单人拔罐瘦身套餐,1,207
大森林酵素浴养生馆,南岗区,文昌街,4.1,单人酵素养生浴,38,203
足益堂专业修脚,南岗区,国际会展中心,5.0,单人修脚套餐,19.9,201
健足斋,南岗区,花园街,5.0,单人足底按摩,15.9,199
大鹏中医盲人按摩,南岗区,省政府/龙塔,4.8,单人中式按摩,50,194
路易香浓按摩养生会馆,南岗区,凯德广场,5.0,单人艾灸套餐,19.9,188
韵星美容美体工作室,南岗区,哈尔滨西站,5.0,拔罐,1,184
若世堂推拿店,南岗区,哈尔滨西站,5.0,单人肩颈调理推拿,38.9,175
按摩,南岗区,果戈里/革新街,4.5,单人局部按摩调理套餐,38,164
士课盲人按摩院,南岗区,果戈里/革新街,4.5,单人局部按摩调理套餐,38,164
卓韵减肥美容院（征跃店）,南岗区,征仪路/保健路,4.0,单人补水美白水疗套餐,16.9,160
卓韵减肥美容院（保健路店）,南岗区,征仪路/保健路,4.0,单人补水美白水疗套餐,16.9,160
卓韵减肥美容院（总店）,南岗区,征仪路/保健路,5.0,单人补水美白水疗套餐,16.9,160
卓韵减肥美容院,南岗区,征仪路/保健路,4.0,单人补水美白水疗套餐,16.9,160
卓韵减肥美容院（通达街店）,南岗区,和兴路沿线,5.0,单人补水美白水疗套餐,16.9,160
康源盲人按摩,南岗区,服装城/学府路,5.0,单人按摩套餐,28,153
纤秀美容减肥会馆（哈西万达店）,南岗区,哈尔滨西站,4.2,体验套餐,15.8,143
李大夫中式推拿,南岗区,和兴路沿线,5.0,单人无痛刮痧拔罐套餐,24.9,139
天立中医推拿按摩院,南岗区,花园街,4.1,单人按摩套餐,22.8,138
滨朋盲人按摩院,南岗区,和兴路沿线,5.0,单人全身推拿+火罐套餐,55,136
娇莉芙（哈西万达店）,南岗区,哈尔滨西站,4.6,单人OPC抗氧化面部护理/背部经典舒压护理2选1,68,137
小周老师韩式半永久纹绣馆,南岗区,芦家街/宣化街,5.0,韩式美瞳线,780,135
