商家,区域,商圈,星级,服务,价格,销量
世龙世家手足健康连锁（解放路店）,历下区,解放路,5.0,泡脚足浴+修脚护理单人套餐,9.9,26911
宏伟推拿中心（建鑫花园店）,历下区,山大南/北路,5.0,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（佛山苑店）,历下区,佛山街,5.0,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（高新万达店）,历下区,高新万达广场,5.0,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（历山路店）,历下区,山大南/北路,4.1,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（东关大街店）,历下区,山大南/北路,5.0,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（浆水泉店）,历下区,燕山地区,5.0,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
宏伟推拿中心（明湖东路店）,历下区,大明湖,4.4,单人宏伟盲人推拿足疗中心按摩4选1,59,15029
美丽田园（美莲广场店）,历下区,齐鲁软件园,4.5,单人美白/保养/紧致/保湿SPA套餐四选一,268,13578
美丽田园(恒隆广场店),历下区,恒隆广场,5.0,单人美白/保养/紧致/保湿SPA套餐四选一,268,13578
美丽田园（银座店）,历下区,玉函银座,4.6,单人美白/保养/紧致/保湿SPA套餐四选一,268,13578
北派修脚（济南二店）,历下区,山大南/北路,4.9,单人北派足部套餐,28,12527
北派修脚（济南三店）,历下区,大明湖,5.0,单人北派足部套餐,28,12527
华夏良子（济南铁院店）,历下区,解放路,5.0,生命之禅全天通用单人套餐,138,11901
华夏良子（济南东环店）,历下区,山大南/北路,5.0,生命之禅全天通用单人套餐,138,11901
华夏良子（济南奥体店）,历下区,奥体中心,5.0,代金券,75,11126
华夏良子（济南解放桥店）,历下区,解放路,5.0,代金券,75,11126
华夏良子（济南养灸堂店）,历下区,奥体中心,5.0,代金券,75,11126
圣梦亲体美肤生活馆（中润银座店）,历下区,窑头路,5.0,单人美容美体项目3选1套餐,58,10509
欣奕除疤（东关大街店）,历下区,大明湖,5.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3107
克丽缇娜（济南明湖店）,历下区,大明湖,3.5,克丽缇娜水妍润泽单人焕美套餐,158,3053
锦程纳米汗蒸推拿减肥中心,历下区,高新会展中心,5.0,安然纳米汗蒸（今日特价）,13.8,2658
奥体四季泉城（四季泉城酒店）,历下区,奥体中心,5.0,单人休闲套餐,188,2496
良子（文化东路店）,历下区,文化东/西路,5.0,单人良子特级头疗套餐,106,2475
良子（解放东路店）,历下区,解放东路,5.0,单人良子特级头疗套餐,106,2475
