商家,区域,商圈,星级,服务,价格,销量
欣奕除疤（青年路店）,五华区,五华区,4.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
欣奕除疤（茭菱路店）,五华区,丰宁小区,5.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
克丽缇娜（翠湖北路店）,五华区,翠湖公园,4.5,克丽缇娜水妍润泽单人焕美套餐,158,3090
御指云端足浴,五华区,五华区,5.0,单人港式指法指压按摩（春节正常营业）,198,2800
琦品美容spa私享空间（昆明世纪广场店）,五华区,南屏片区,5.0,单人护理套餐2选1,168,2760
弘伟盲人推拿养生足浴,五华区,和谐世纪,5.0,单人全身按摩套餐,50,2222
57号大保健,五华区,三市街,5.0,单人本草足浴,118,1926
娇诗尼亚经络理疗减肥中心（沃尔玛店）,五华区,高新区,5.0,单人全身疏通按摩经络单次体验卡,58,1901
蕾特恩专业祛痘（国际）连锁（霖雨路店）,五华区,美璟新城,4.5,单人DNA靶向黑头析出,29,1121
大运足国际概念会所,五华区,和谐世纪,4.6,单人康乐足浴,198,1112
新纪元大酒店康体工坊,五华区,南屏片区,4.2,新纪元大酒店康体工坊足部护理1次 东风西路,68,1097
柔婷（百汇店）,五华区,五华区,4.0,单人美容专业护理套餐1次,38,908
柔婷（攀昆店）,五华区,南屏片区,3.5,单人美容专业护理套餐1次,38,908
柔婷（呈贡老街店）,五华区,南屏片区,4.0,单人美容专业护理套餐1次,38,908
柔婷（金泉店）,五华区,霖雨路,4.0,单人美容专业护理套餐1次,38,908
苗医生专业祛痘祛斑连锁（昆明艺术剧院店）,五华区,小西门,5.0,单人清透护理,9.9,874
唯美诗特SPA会馆,五华区,丰宁小区,4.1,单人中式精油套餐,79,813
静静经络养生馆,五华区,圆通山,4.8,单人超值套餐,29.9,189
足生缘,五华区,和谐世纪,5.0,单人泰式按摩,118,188
善古经络调养机构,五华区,五华区,4.8,单人颈肩调理,118,176
香缇雅美容会所（小花园江滨西路店）,五华区,五华区,5.0,单人精致美容纤体七选二套餐,198,170
香缇雅美容会所（南屏时代大厦店）,五华区,三市街,5.0,单人精致美容纤体七选二套餐,198,170
诺美荟国际眼部理疗连锁（顺城旗舰店）,五华区,南屏片区,4.0,单人第四代ERF祛除眼纹、眼袋、黑眼圈,9.9,172
81度盲人推拿足浴养生会馆,五华区,北教场,5.0,单人全身按摩套餐,49,161
香妍美吧,五华区,小西门,4.8,单人美容体验套餐,39.9,155
悦时光 美甲spa生活馆,五华区,嘉年华,4.8,单人精品美甲套餐,55.5,153
甲博士灰指甲（白云路店）,五华区,五华区,4.1,单人修脚甲床护理套餐,9.9,150
黛芙妮尔五行养生驻颜馆（华龙店）,五华区,天骄北麓,5.0,【限时特惠】面部秋冬深度活水单人套餐,39,146
婉居美肤生活馆（建设路店）,五华区,建设路,5.0,单人特色面部SPA,89,144
宝菲欧蒂皮肤再生中心（小西门店）,五华区,小西门,5.0,单人肩颈、暖宫、腰部、臀部、胸部5选1套餐,38,144
梦乐养生慨念店,五华区,高新区,5.0,单人补水美颜套餐,98,89
欣舒足浴,五华区,黄土坡,5.0,单人中式按摩+足疗套餐,78,88
小玛儿生活馆,五华区,南屏片区,5.0,单人超值面部排螨虫,48.8,87
珍妮芙美容院（新闻店）,五华区,小西门,4.6,单人经典护理7选4套餐,88.8,81
淮美美容养生会所,五华区,五华区,5.0,单人面部美白补水、背部SPA、局部艾灸3选1,29.8,79
朵悦美疗SPA,五华区,丰宁小区,4.1,单人面部护理,98,78
古元堂,五华区,三市街,4.3,古元堂·舒缓系列单人套餐,29.9,77
朝云盲人按摩,五华区,月牙潭,4.6,全身按摩,48,76
台湾碧波庭美容美体养生会所,五华区,黄土坡,5.0,台湾碧波庭面部奢华护理,38,74
盛优盛美美容院,五华区,三市街,4.6,纳米汗蒸+补水面膜（单人套餐）,37,74
纤墨专业减肥美容工作室,五华区,北教场,5.0,纤墨五行经络单人瘦身纤体3次体验卡,69.8,72
瑶芳专业祛痘,五华区,云南财经大学,5.0,瑶芳单人取痣体验套餐,18,71
中道堂养生馆（版筑翠园店）,五华区,五华区,4.6,单人专业艾灸,88,70
泰舒SPA,五华区,和谐世纪,5.0,单人芳香精油SPA,258,66
陈氏知足康盲人保健按摩,五华区,五华区,4.6,单人全身按摩＋经络疏通,66.6,64
Hime国际高端容貌管理,五华区,南屏片区,5.0,SPT冰点温和脱毛4选1单人体验套餐,68,61
悦己韩式皮肤管理中心,五华区,南屏片区,5.0,Aqua Peeling小气泡毛孔管理,199,60
神话美颜色斑中心,五华区,美璟新城,4.0,单人补水套餐,18,59
云指生足疗spa馆,五华区,小西门,5.0,白天场足道,48,56
美的朵儿美容院,五华区,五华区,3.9,美颜养生套餐,18,50
云辉美颜养生会所,五华区,五华区,5.0,单人全息拨筋美眼护理,39.8,48
浪漫香榭丽美容美体中心,五华区,南屏片区,4.1,单人美容套餐,48,47
林SPA养生馆,五华区,和谐世纪,5.0,单人全身奢华精油SPA+淋浴,238,43
叶建军 Join 娜私人汇所,五华区,三市街,4.3,单人精致美容套餐3选1,158,41
范氏玉陶灸总店,五华区,黄土坡,5.0,玉陶灸单个灸,5,41
皇吉养生馆,五华区,五华区,4.9,单人精油推背,58.8,41
隆妆盛宴养生馆,五华区,天骄北麓,5.0,单人美容套餐,98,40
沐泽秀抗衰美容美体会所,五华区,三市街,4.0,单人养生补水保湿项目,39,39
傲阁韩式纹绣-国际纹饰艺术大赛,五华区,南屏片区,5.0,美瞳线-美睫线-单人,568,37
幽兰雅艺,五华区,南屏片区,4.6,背部精油按摩+艾灸单人套餐,88,36
路易芬尼,五华区,黄土坡,5.0,单人超值体验套餐,58,35
龙尊会所,五华区,五华区,3.7,单人龙尊精油spa（90分钟）,198,33
卿之源SPA健康养生馆,五华区,三市街,4.4,卿之源单人女性SPA,39,33
林辰养生馆,五华区,南屏片区,4.8,单人美容spa1次,69.9,31
宝宝spa婴儿游泳馆（蓓蓓+店）,五华区,南屏片区,4.5,海盐矿物质游泳+被动操+洗澡+抚触超值体验套餐,58,33
量颜美容养生会所,五华区,南屏片区,5.0,背部精油按摩,108,32
beauty果蔬美容,五华区,云南财经大学,4.1,Beauty果蔬美容超值双效体验单人套餐,36,30
润萃·肌肤科技,五华区,南屏片区,3.8,肌肤年轻化管理单人套餐,298,13
伊尔美容,五华区,云南财经大学,5.0,单人面部护理套餐,39,11
淡雅健康管理中心,五华区,黄土坡,4.7,夏季特惠经典护理套餐,98,11
悦容莊,五华区,南屏片区,4.9,单人背轻松SPA1次,78,10
meyou密友美妆馆,五华区,和谐世纪,5.0,单人日式纯色美甲,40,10
悦己容庄,五华区,三市街,5.0,高端韩式水氧小气泡深层清洁美白补水面部护理,98,9
Miami image club迈阿密摄影会所,五华区,三市街,5.0,欧美风私人订制个人写真总监套系,5999,9
兰玥坊美容院,五华区,和谐世纪,5.0,面部深度补水小气泡,68,9
筋骨堂（苏家塘店）,五华区,建设路,4.2,经络调理瘦身,99,8
大唐足道（和谐世纪店）,五华区,和谐世纪,4.1,单人大唐泰式保健,139,8
榆婷美业和谐生活馆,五华区,五华区,5.0,榆婷夏日特推除湿泥灸系列3选1,38,8
墨槿私人形象订制中心-化妆美甲,五华区,五华区,4.9,单人面部紧致体验套餐,19.9,6
艺阁个人形象设计中心,五华区,南屏片区,4.9,单人美妆课,68,6
魅力一身美容美体,五华区,五华区,4.9,面部奢华护理组合,68,5
安然纳米汗蒸馆（和谐世纪店）,五华区,和谐世纪,4.3,单人美人美体套餐4选1,48,5
A2日式美甲美睫,五华区,和谐世纪,5.0,肩颈调理,38,5
专心美,五华区,南屏片区,5.0,单人水雕面部护理（水漾动力面部护理）,168,5
女主播化妆美甲美睫韩式半永久,五华区,丰宁小区,4.4,单人皮肤基础护理,58,5
佳艺美容美发,五华区,五华区,4.7,法国欧莱雪肤护肤单人体验套餐,128,4
爱尼尔美甲（王府井店）,五华区,南屏片区,4.9,韩国宝睫品牌单人睫毛嫁接,380,4
爱尼尔美甲（昆百大店）,五华区,五华区,4.3,韩国宝睫品牌单人睫毛嫁接,380,4
平裕美容养生馆,五华区,五华区,4.0,单人DNA水疗,28,4
知心女人女子会所（云都国际店）,五华区,黄土坡,4.0,日韩式进口美甲（款式任选）单人,188,4
绣颜丽雅美颜中心,五华区,和谐世纪,4.6,单人小气泡皮肤管理套餐,118,4
熙檀瑜伽,五华区,建设路,5.0,肩颈背部经络疏通按摩单人套餐,69,3
夏时根专业修脚,五华区,月牙潭,3.5,单人按脚+按背+修脚,36,3
俏颜美容美体,五华区,五华区,3.0,单人至尊专业护理套餐,58,2
昆明鸣凰阁形象策划服务有限公司（克丽缇娜翠湖青云店）,五华区,五华区,3.5,克丽缇娜养生艾蕴套餐——肩颈舒缓,299,2
名剪美甲纹绣,五华区,五华区,5.0,塑体形、SPA瘦身,168,2
双鱼座美容&甜甜美甲,五华区,五华区,4.0,养颜养生双鱼座美容单人套餐,38,2
易褣形象定制,五华区,五华区,5.0,面颈眼提拉/深层补水四选一套餐,98.8,2
利明雪莲专业减肥（戛纳小镇店）,五华区,黄土坡,4.8,肩颈姜艾伏灸套餐,68,1
利来国际骨骼养护美容馆,五华区,月牙潭,4.6,利来国际生殖美疗,280,1
梓杉经络减肥美容养生会所,五华区,黄土坡,5.0,单人胸部护理1次,68,1
悦伊伽人生活馆,五华区,五华区,4.6,悦伊深层清洁补水单人套餐,108,1
焦娇美人养生瘦身馆,五华区,黄土坡,3.5,单人全身舒缓套餐,108,1
梦馨纳米汗蒸养生馆,五华区,高新区,5.0,单人汗蒸＋艾灸,38,0
静逸瑜伽（教练培训基地）,五华区,黄土坡,4.8,单人养生推背,39.9,0
蒂芙尼美甲,五华区,高新商学院,5.0,眉形设计,1580,0
素妍瑜伽工作室,五华区,北教场,4.4,单人经络疏通一次,248,0
魔发造型专业烫染,五华区,北教场,3.7,面部提升紧致单人套餐,68,0
乾威男性养生会所,五华区,和谐世纪,3.8,单人固本培元,298,0
shero希罗半永久美颜定妆中心,五华区,五华区,4.9,艾灸调理单人套餐,28.8,0
OM瑜伽（南屏会馆店）,五华区,三市街,5.0,单人艾灸体验,58,0
领御富侨,盘龙区,滨江俊园,5.0,单人VIP足疗套餐,124,25365
大印足（北京路会馆）,盘龙区,金江小区,5.0,古典御方热疗一位,128,18294
圣梦亲体美肤生活馆（好又多店）,盘龙区,新迎小区,4.0,单人美容美体项目3选1套餐,58,10510
圣梦亲体美肤生活馆（春之城店）,盘龙区,北辰财富中心,4.4,单人美容美体项目3选1套餐,58,10510
圣梦亲体美肤生活馆（同德店）,盘龙区,同德昆明广场,3.9,单人美容美体项目3选1套餐,58,10510
本草秀复除疤祛痘（江东花园店）,盘龙区,北辰财富中心,5.0,鼻头清洁体验套餐1次,10,7717
徐氏推拿（人民东路店）,盘龙区,盘龙区,5.0,徐氏推拿单人足疗套餐,75,6656
泉隆足疗客栈,盘龙区,云锡花园,5.0,泉隆单人足浴,108,5646
手道堂养生馆（金星店）,盘龙区,金星小区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（北辰财富中心店）,盘龙区,北辰财富中心,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（星雅俊园店）,盘龙区,凤凰新村,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（滨江俊园店）,盘龙区,滨江俊园,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（云南映象店）,盘龙区,云南印象,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（佳园小区店）,盘龙区,白龙新区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
手道堂养生馆（金实店）,盘龙区,金实小区,5.0,单人手道堂全息经络刮痧（肩颈）,98,4048
圣爱中医养生中心（摩玛店）,盘龙区,桃源广场,5.0,圣爱肩颈调理 60分钟,68,4022
圣爱中医养生中心（北市店）,盘龙区,金江小区,5.0,圣爱肩颈调理 60分钟,68,4022
东翰足疗养生会所（北京路好世界店）,盘龙区,江东花城,5.0,单人养生足疗,108,3874
佐康专业祛痘（昆明盘龙区店）,盘龙区,北辰财富中心,5.0,单人去黑头套餐（全国通用2次）,16.8,3584
皇廷足步天下足道养生会所,盘龙区,滨江俊园,5.0,单人足浴1次,98,3412
贵足道金海湾足疗城,盘龙区,北辰财富中心,4.8,单人贵宾足浴（白天场）,99,3128
欣奕除疤（北市区店）,盘龙区,金江小区,5.0,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
欣奕除疤（白云路店）,盘龙区,盘龙区,4.6,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
欣奕除疤（穿金路店）,盘龙区,穿金路,4.6,去黑头：深层清洁+除粉刺+收缩毛孔+补水保湿,58,3111
阳光足浴,盘龙区,凤凰新村,5.0,单人中式保健按摩套餐,145,2944
大嘴鱼风情鱼疗,盘龙区,凤凰新村,5.0,单人土耳其温泉鱼疗套餐,18.8,2287
东畅调理中心,盘龙区,金泉小区,5.0,单人穴位拔火罐,1,2253
ShanTsin善沁高端专业美容美体中心,盘龙区,同德昆明广场,5.0,美容单人护理6选2,168,1544
本草记（凤凰新村店）,盘龙区,凤凰新村,5.0,芳香精油SPA,158,1165
